Year	Make	Model	Class	Type	Country	Value (Cr)	Rarity	Source	Source Info
2023	Formula Drift	#64 Forsberg Racing Nissan Z	S1 783	Drift Cars	USA	200,000	Epic	Autoshow, Wheelspin	
2013	Formula Drift	#777 Chevrolet Corvette	S1 760	Drift Cars	USA	275,000	Epic	Autoshow, Wheelspin	
1997	Formula Drift	#777 Nissan 240SX	S1 748	Drift Cars	USA	150,000	Epic	Autoshow, Collection Journal	
2020	Formula Drift	#91 BMW M2	S1 748	Drift Cars	USA	150,000	Epic	Autoshow, Wheelspin	
1989	Formula Drift	#98 BMW 325i	S1 726	Drift Cars	USA	150,000	Epic	Autoshow, Wheelspin	
2009	Formula Drift	#99 Mazda RX-8	S1 737	Drift Cars	USA	150,000	Epic	Autoshow, Collection Journal	
2018	Funco Motorsports	F9	S1 752	Unlimited Buggies	USA	300,000	Epic	Collection Journal, Seasonal	Not in Autoshow
2022	GMC	HUMMER EV Pickup	A 610	Pickups & 4x4s	USA	95,000	Epic	Autoshow, Wheelspin	
1970	GMC	Jimmy	C 416	Pickups & 4x4s	USA	60,000	Common	Autoshow	
1991	GMC	Syclone	C 446	Pickups & 4x4s	USA	46,000	Epic	Autoshow, Wheelspin	
1992	GMC	Typhoon	C 435	Sports Utility Heroes	USA	38,000	Epic	Autoshow, Wheelspin	
2020	Gordon Murray Automotive	T.50	S2 871	Hypercars	UK	3,050,000	Legendary	Autoshow, Collection Journal	
2025	GR	GT Prototype	S1 771	Super GT	Japan	250,000	Legendary	Autoshow, Wheelspin	
2019	Hennessey	Ford F-150 VelociRaptor 6x6	B 520	Pickups & 4x4s	USA	375,000	Legendary	Autoshow, Wheelspin	
2021	Hennessey	Venom F5	S2 870	Hypercars	USA	2,050,000	Legendary	Autoshow, Wheelspin	
2012	Hennessey	Venom GT	S2 845	Hypercars	USA			Wheelspin, Seasonal	Not in Autoshow
1977	Holden	Torana A9X	C 413	Classic Muscle	Australia	500,000	Rare	Autoshow, Wheelspin	
1990	Honda	#19 101 Motorsport CRX WTAC	S2 877	Extreme Track Toys	Japan	150,000	Rare	Autoshow DLC	Time Attack Car Pack
1992	Honda	#21 Hardrace/JDMYard Civic WTAC	R 913	Extreme Track Toys	Japan	150,000	Epic	Autoshow DLC	Time Attack Car Pack
2001	Honda	#33 Integra WTAC	S2 860	Extreme Track Toys	Japan	150,000	Epic	Autoshow DLC	Time Attack Car Pack
2004	Honda	#52 Evasive Motorsports S2000 WTAC	S2 888	Extreme Track Toys	Japan	320,000	Epic	Autoshow DLC	Time Attack Car Pack
1994	Honda	Acty	D 100	Eclectic Domestics	Japan	9,000	Common	Autoshow, Collection Journal, Wheelspin	
1991	Honda	Beat	D 283	Eclectic Domestics	Japan	15,000	Rare	Autoshow, Collection Journal, Wheelspin	
1984	Honda	City E II	D 203	Eclectic Domestics	Japan	7,500	Epic	Autoshow, Collection Journal, Wheelspin	
1984	Honda	Civic CRX Mugen	D 390	Retro Sports Cars	Japan			Collection Journal, Seasonal	Not in Autoshow
1974	Honda	Civic RS	D 254	Retro Hot Hatch	Japan			Collection Journal, Seasonal	Not in Autoshow
1986	Honda	Civic Si	D 253	Retro Hot Hatch	Japan	10,000	Epic	Autoshow	
1997	Honda	Civic Type R	C 430	Retro Hot Hatch	Japan	30,000	Common	Autoshow, Wheelspin	
2004	Honda	Civic Type R	C 480	Retro Hot Hatch	Japan	15,000	Common	Autoshow, Wheelspin	
2007	Honda	Civic Type R	C 454	Hot Hatch	Japan	17,000	Common	Autoshow, Wheelspin	
2008	Honda	Civic Type R	B 514	Retro Super Saloons	Japan	20,000	Rare	Autoshow DLC	Car Pass 6/11/26
2015	Honda	Civic Type R	B 585	Super Hot Hatch	Japan	30,000	Common	Autoshow, Wheelspin	
2018	Honda	Civic Type R	A 608	Super Hot Hatch	Japan	35,000	Rare	Autoshow, Wheelspin	
2023	Honda	Civic Type R	A 620	Super Hot Hatch	Japan	43,000	Rare	Autoshow, Collection Journal, Wheelspin	
1991	Honda	CR-X SiR	C 465	Retro Hot Hatch	Japan			Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2022	Honda	e	D 398	Hot Hatch	Japan	30,000	Common	Autoshow, Wheelspin	
1992	Honda	NSX-R	B 572	Retro Sports Cars	Japan	450,000	Epic	Autoshow, Wheelspin	
2005	Honda	NSX-R	B 570	Retro Sports Cars	Japan	325,000	Epic	Autoshow, Collection Journal	
2005	Honda	NSX-R GT	A 608	Retro Sports Cars	Japan	600,000	Barn Find	Collection Journal	Not in Autoshow, is discoverable Barn Find in Ohtani
1994	Honda	Prelude Si	C 410	Retro Hot Hatch	Japan	15,000	Common	Autoshow, Collection Journal, Wheelspin	
2015	Honda	Ridgeline Baja Trophy Truck	B 580	Unlimited Offroad	Japan	400,000	Epic	Autoshow, Wheelspin	
2003	Honda	S2000	B 503	Modern Sports Cars	Japan	55,000	Common	Autoshow, Wheelspin	
1970	Honda	S800	D 134	Cult Cars	Japan	40,000	Common	Autoshow, Wheelspin	
2014	HSV	GEN-F GTS	A 601	Modern Muscle	Australia	81,000	Rare	Autoshow, Wheelspin	
2014	HSV	Limited Edition GEN-F GTS Maloo	A 629	Utility Heroes	Australia	65,000	Common	Autoshow, Wheelspin	
2021	Hyundai	i20 N	B 564	Hot Hatch	Korea	48,000	Rare	Autoshow, Wheelspin	
2020	Hyundai	i30 N	B 553	Super Hot Hatch	Korea	32,000	Rare	Autoshow, Wheelspin	
2023	Hyundai	IONIQ 5 N	A 657	Sports Utility Heroes	Korea	22,000	Rare	Autoshow, Wheelspin	
2022	Hyundai	N Vision 74	A 692	Track Toys	Korea	325,000	Rare	Autoshow, Wheelspin	
2019	Hyundai	Veloster N	B 532	Super Hot Hatch	Korea	20,000	Epic	Autoshow, Wheelspin	
2010	Jaguar	C-X75	S2 810	Modern Supercars	UK	3,200,000	Legendary	Autoshow, Wheelspin	
1956	Jaguar	D-Type	B 506	Classic Racers	UK	4,300,000	Legendary	Autoshow, Wheelspin	
1961	Jaguar	E-type	C 414	Rare Classics	UK			Wheelspin, Seasonal	Not in Autoshow
1964	Jaguar	Lightweight E-Type	B 568	Classic Racers	UK	7,900,000	Legendary	Autoshow, Wheelspin	
1991	Jaguar	Sport XJR-15	S1 716	Retro Supercars	UK	950,000	Legendary	Autoshow, Collection Journal	
1993	Jaguar	XJ220	A 676	Retro Supercars	UK	570,000	Legendary	Autoshow, Wheelspin	
1993	Jaguar	XJ220S TWR	S1 750	Retro Supercars	UK	540,000	Rare	Autoshow, Wheelspin	
2018	Jeep	Grand Cherokee Trackhawk	A 631	Sports Utility Heroes	USA	72,000	Common	Autoshow, Wheelspin	
2020	Jeep	JT	D 336	Pickups & 4x4s	USA	36,000	Common	Autoshow, Wheelspin	
2016	Jeep	Trailcat	A 635	Unlimited Offroad	USA	70,000	Rare	Autoshow, Wheelspin	
2012	Jeep	Wrangler Rubicon	D 350	Pickups & 4x4s	USA	16,000	Common	Autoshow, Wheelspin	
2020	Jimco	#179 Hammerhead Class 1	A 652	Unlimited Buggies	USA	95,000	Rare	Autoshow, Wheelspin	
2019	Jimco	#240 Fastball Racing Class 6100 Spec Trophy Truck	B 511	Unlimited Offroad	USA	350,000	Epic	Autoshow, Wheelspin	
2011	Koenigsegg	Agera	S2 810	Hypercars	Sweden	1,950,000	Legendary	Autoshow, Wheelspin	
2017	Koenigsegg	Agera RS	S2 890	Hypercars	Sweden	2,900,000	Legendary	Autoshow, Collection Journal	
2008	Koenigsegg	CCGT	S2 900	Extreme Track Toys	Sweden	3,400,000	Legendary	Autoshow, Wheelspin	
2024	Koenigsegg	Gemera	S2 900	Hypercars	Sweden	2,000,000	Epic	Autoshow DLC	Car Pass 5/28/26
2020	Koenigsegg	Jesko	S2 899	Hypercars	Sweden	3,500,000	Legendary	Autoshow, Wheelspin	
2015	Koenigsegg	One:1	S2 890	Hypercars	Sweden			Wheelspin, Seasonal	Not in Autoshow
2016	Koenigsegg	Regera	S2 886	Hypercars	Sweden	2,550,000	Legendary	Autoshow	
2018	KTM	X-Bow GT4	S1 749	Extreme Track Toys	Austria	90,000	Epic	Autoshow, Wheelspin	
2022	Lamborghini	Aventador LP 780-4 Ultimae	S1 794	Hypercars	Italy	800,000	Legendary	Seasonal	Not in Autoshow, from Horizon Legend Wristband Event
2012	Lamborghini	Aventador LP700-4	S1 753	Hypercars	Italy			Wheelspin, Seasonal	Not in Autoshow
2018	Lamborghini	Aventador SVJ	S1 794	Hypercars	Italy	1,200,000	Legendary	Autoshow, Wheelspin	
2016	Lamborghini	Centenario LP 770-4	S1 792	Hypercars	Italy	150,000	Legendary	Autoshow, Wheelspin, Loyalty	
1988	Lamborghini	Countach LP5000 QV	A 622	Retro Supercars	Italy	600,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2021	Lamborghini	Countach LPI 800-4	S1 773	Hypercars	Italy	2,100,000	Legendary	Autoshow, Wheelspin	
1999	Lamborghini	Diablo GTR	S2 823	Extreme Track Toys	Italy			Wheelspin, Seasonal	Not in Autoshow
1997	Lamborghini	Diablo SV	A 649	Retro Supercars	Italy	375,000	Barn Find	Collection Journal	Not in Autoshow, is discoverable Bard Find in Ito
2020	Lamborghini	Essenza SCV12	R 911	Extreme Track Toys	Italy	1,500,000	Legendary	Autoshow, Wheelspin	
2012	Lamborghini	Gallardo LP570-4 Spyder Performante	A 685	Modern Supercars	Italy	210,000	Epic	Autoshow, Wheelspin	
2020	Lamborghini	Huracán EVO	S1 761	Modern Supercars	Italy	250,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2014	Lamborghini	Huracán LP 610-4	S1 738	Modern Supercars	Italy	200,000	Epic	Autoshow, Wheelspin, Loyalty	
2022	Lamborghini	Huracán Sterrato	S1 738	Rally Monsters	Italy			Collection Journal, Seasonal	Not in Autoshow
2020	Lamborghini	Huracán STO	S1 783	Track Toys	Italy	325,000	Legendary	Autoshow, Wheelspin	
2022	Lamborghini	Huracán Tecnica	S1 747	Modern Supercars	Italy	365,000	Legendary	Autoshow, Wheelspin	
1967	Lamborghini	Miura P400	B 505	Rare Classics	Italy	1,700,000	Legendary	Autoshow, Wheelspin	
2010	Lamborghini	Murciélago LP 670-4 SV	S1 707	Modern Supercars	Italy	100,000	Epic	Autoshow, Wheelspin	
2024	Lamborghini	Revuelto	S2 829	Hypercars	Italy	365,000	Legendary	Autoshow, Collection Journal	
2011	Lamborghini	Sesto Elemento	S2 871	Extreme Track Toys	Italy			Wheelspin, Seasonal	Not in Autoshow
2020	Lamborghini	Sián Roadster	S1 797	Hypercars	Italy	2,500,000	Legendary	Autoshow, Wheelspin	
2019	Lamborghini	Urus	A 659	Sports Utility Heroes	Italy	200,000	Rare	Autoshow, Collection Journal	
2013	Lamborghini	Veneno	S2 834	Hypercars	Italy	3,950,000	Legendary	Autoshow, Wheelspin	
1992	Lancia	Delta HF Integrale EVO	C 489	Retro Rally	Italy	110,000	Common	Autoshow, Wheelspin	
1986	Lancia	Delta S4	B 564	Retro Rally	Italy	55,000	Rare	Autoshow, Wheelspin	
1974	Lancia	Stratos HF Stradale	C 483	Classic Rally	Italy	680,000	Treasure Car	Collection Journal	Not in Autoshow, is discoverable Treasure Car
2020	Land Rover	Defender 110 X	C 427	Sports Utility Heroes	UK	250,000	Common	Autoshow	
2015	Land Rover	Range Rover Sport SVR	A 604	Sports Utility Heroes	UK	48,000	Rare	Autoshow, Collection Journal	
2021	Lexus	LC 500	B 592	GT Cars	USA	79,000	Rare	Autoshow, Wheelspin	
2010	Lexus	LFA	A 699	Modern Supercars	USA	875,000	Epic	Autoshow	
2010	Lexus	LFA Forza Edition	S2 900	Extreme Track Toys	USA			Collection Journal, Seasonal	Not in Autoshow
2015	Lexus	RC F	A 623	Modern Super Saloons	USA	35,000	Rare	Autoshow, Wheelspin	
1962	Lincoln	Continental	D 267	Rods and Customs	USA	65,000		Collection Journal	Not in Autoshow, is discoverable Barn Find in Hokubu
1997	Lotus	Elise GT1	S1 709	Retro Supercars	UK	1,500,000	Legendary	Autoshow, Wheelspin	
1999	Lotus	Elise Series 1 Sport 190	B 589	Retro Sports Cars	UK	47,000	Common	Autoshow, Wheelspin	
2023	Lotus	Emira	A 656	Modern Sports Cars	UK	250,000	Rare	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2020	Lotus	Evija	R 937	Hypercars	UK	2,450,000	Legendary	Autoshow, Wheelspin	
2020	Lotus	Evija Forza Edition	S2 900	Drift Cars	UK	500,000	Forza Edition	Autoshow DLC	VIP
2018	Lotus	Exige Cup 430	S1 732	Track Toys	UK	250,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2018	Lotus	Scura Motorsports Exige WTAC	R 998	Extreme Track Toys	UK			Collection Journal, Seasonal	Not in Autoshow
2024	Lucid	Air Sapphire	S2 820	Modern Super Saloons	USA	240,000	Rare	Autoshow, Wheelspin	
1997	Maserati	Ghibli Cup	B 591	Retro Sports Cars	Italy	102,000	Rare	Autoshow, Collection Journal	
2004	Maserati	MC12	S1 751	Retro Supercars	Italy			Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2008	Maserati	MC12 Versione Corsa	R 912	Extreme Track Toys	Italy	3,100,000	Legendary	Autoshow, Wheelspin	
2022	Maserati	MC20	S1 753	Modern Supercars	Italy	220,000	Epic	Autoshow, Wheelspin	
1974	Mazda	#123 Mad Mike 808 Wagon 'FURSTY'	S1 702	Drift Cars	Japan	100,000	Legendary	Autoshow DLC	Car Pass 6/25/26
1991	Mazda	#55 Mazda 787B	R 988	Retro Racers	Japan			Collection Journal	Not in Autoshow
1972	Mazda	Cosmo 110S Series II	D 394	Classic Sports Cars	Japan			Seasonal	Not in Autoshow, in Playlist History
2008	Mazda	Furai	R 926	Extreme Track Toys	Japan	353,000	Legendary	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2010	Mazda	Mazdaspeed 3	B 536	Hot Hatch	Japan	25,000	Common	Autoshow, Wheelspin	
2005	Mazda	Mazdaspeed MX-5	C 469	Retro Sports Cars	Japan	21,000	Common	Autoshow, Wheelspin	
2013	Mazda	MX-5	C 432	Modern Sports Cars	Japan	28,000	Common	Autoshow, Wheelspin	
2016	Mazda	MX-5	C 499	Modern Sports Cars	Japan	18,000	Epic	Autoshow	
2017	Mazda	MX-5 Cup	B 586	Track Toys	Japan	60,000	Epic	Autoshow, Collection Journal	
1994	Mazda	MX-5 Miata	D 329	Retro Sports Cars	Japan	15,000	Common	Autoshow, Wheelspin	
1994	Mazda	MX-5 Miata Forza Edition	S2 850	Retro Sports Cars	Japan			Seasonal	Not in Autoshow
2022	Mazda	MX-5 Miata RF	B 509	Modern Sports Cars	Japan	29,000	Epic	Autoshow, Wheelspin	
1973	Mazda	RX-3	D 328	Classic Sports Cars	Japan	73,000	Common	Autoshow, Wheelspin	
1973	Mazda	RX-3 Forza Edition	B 600	Classic Sports Cars	Japan			Seasonal	Not in Autoshow
1985	Mazda	RX-7 GSL-SE	D 357	Retro Sports Cars	Japan	30,000	Treasure Car	Collection Journal	Not in Autoshow, is discoverable Treasure Car
1992	Mazda	RX-7 Type R	B 548	Retro Sports Cars	Japan	40,000	Rare	Autoshow, Collection Journal	
2011	Mazda	RX-8 R3	B 508	Modern Sports Cars	Japan	33,000	Rare	Autoshow, Wheelspin	
1990	Mazda	Savanna RX-7	C 451	Retro Sports Cars	Japan	23,000	Epic	Autoshow, Wheelspin	
2011	McLaren	12C Coupé	S1 727	Modern Supercars	UK	105,000	Epic	Autoshow, Wheelspin	
2015	McLaren	570S Coupé	S1 721	Modern Supercars	UK	130,000	Epic	Autoshow, Wheelspin	
2018	McLaren	600LT Coupé	S1 780	Track Toys	UK	260,000	Epic	Autoshow	
2021	McLaren	620R	S1 773	Track Toys	UK			Wheelspin, Seasonal	Not in Autoshow
2014	McLaren	650S Spider	S1 765	Modern Supercars	UK	130,000	Epic	Autoshow, Wheelspin	
2021	McLaren	765LT Coupé	S2 829	Track Toys	UK	358,000	Epic	Autoshow, Wheelspin	
2023	McLaren	Artura	S1 766	Modern Supercars	UK	220,000	Epic	Autoshow, Wheelspin	
1993	McLaren	F1	S1 713	Retro Supercars	UK	5,000,000	Legendary	Autoshow, Wheelspin	
1997	McLaren	F1 GT	S1 769	Retro Supercars	UK	5,500,000	Legendary	Autoshow, Wheelspin	
2013	McLaren	P1	S2 848	Hypercars	UK	1,550,000	Legendary	Autoshow, Wheelspin	
2021	McLaren	Sabre	S1 787	Hypercars	UK	3,400,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2019	McLaren	Speedtail	S2 835	Hypercars	UK	2,000,000	Legendary	Autoshow, Wheelspin	
2016	Mercedes-AMG	C 63 S Coupé	A 645	Modern Super Saloons	Germany	34,000	Rare	Autoshow, Wheelspin	
2018	Mercedes-AMG	E 63 S	A 674	Modern Super Saloons	Germany	63,000	Epic	Autoshow, Wheelspin	
2018	Mercedes-AMG	GT 4-Door Coupé	A 664	Modern Super Saloons	Germany			Wheelspin, Seasonal	Not in Autoshow
2020	Mercedes-AMG	GT Black Series	S1 782	Track Toys	Germany	440,000	Epic	Autoshow, Wheelspin	
2020	Mercedes-AMG	GT Black Series Welcome Pack	S2 900	Track Toys	Germany	200,000	Legendary	Autoshow DLC	Welcome Pack
2017	Mercedes-AMG	GT R	S1 764	Super GT	Germany			Seasonal	Not in Autoshow
2015	Mercedes-AMG	GT S	A 691	Super GT	Germany	90,000	Rare	Autoshow, Wheelspin	
2021	Mercedes-AMG	Mercedes-AMG ONE	S2 900	Hypercars	Germany	2,800,000	Legendary	Autoshow, Wheelspin	
2021	Mercedes-AMG	SL 63	A 690	GT Cars	Germany	120,000	Rare	Autoshow, Wheelspin	
2020	Mercedes-AMG	SLC 43 Final Edition	A 620	Modern Sports Cars	Germany	50,000	Rare	Autoshow, Wheelspin	
1990	Mercedes-Benz	190 E 2.5-16 Evolution II	C 460	Retro Super Saloons	Germany	200,000	Epic	Autoshow	
1990	Mercedes-Benz	190 E 2.5-16 Evolution II Forza Edition	A 700	Track Toys	Germany	750,000	Forza Edition	Wheelspin, Seasonal	Not in Autoshow
1954	Mercedes-Benz	300 SL Coupé	D 388	Rare Classics	Germany	1,700,000	Legendary	Autoshow, Wheelspin	
1955	Mercedes-Benz	300 SLR	B 599	Classic Racers	Germany	60,000,000	Legendary	Autoshow, Wheelspin	
2013	Mercedes-Benz	A 45 AMG	B 582	Super Hot Hatch	Germany	25,000	Rare	Autoshow, Wheelspin	
1998	Mercedes-Benz	AMG CLK GTR	S1 713	Retro Supercars	Germany			Wheelspin, Seasonal	Not in Autoshow
1987	Mercedes-Benz	AMG Hammer Coupe	B 565	Retro Super Saloons	Germany	225,000	Common	Autoshow, Wheelspin	
2012	Mercedes-Benz	C 63 AMG Coupé Black Series	A 654	Modern Super Saloons	Germany	175,000	Epic	Autoshow	
2014	Mercedes-Benz	G 63 AMG 6x6	C 489	Pickups & 4x4s	Germany			Wheelspin, Seasonal	Not in Autoshow
2013	Mercedes-Benz	G 65 AMG	B 530	Pickups & 4x4s	Germany	120,000	Rare	Autoshow, Collection Journal	
2009	Mercedes-Benz	SL 65 AMG Black Series	A 699	Super GT	Germany	360,000	Epic	Autoshow, Wheelspin	
2014	Mercedes-Benz	Unimog U5023	D 100	Offroad	Germany	235,000	Rare	Autoshow, Wheelspin	
2018	Mercedes-Benz	X-Class	D 258	Pickups & 4x4s	Germany	50,000	Common	Autoshow, Wheelspin	
1971	Meyers	Manx	D 201	Buggies	USA	34,000	Epic	Autoshow, Wheelspin	
2023	Meyers	Manx 2.0	B 540	Buggies	USA	74,000	Epic	Autoshow, Wheelspin	
1986	MG	Metro 6R4	A 627	Rally Monsters	UK	220,000	Legendary	Autoshow, Collection Journal, Wheelspin	
1965	MINI	Cooper S	D 158	Classic Rally	UK	39,000	Rare	Autoshow, Wheelspin	
2012	MINI	John Cooper Works GP	B 509	Hot Hatch	UK	30,000	Rare	Autoshow, Wheelspin	
2021	MINI	John Cooper Works GP	B 599	Super Hot Hatch	UK			Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2013	MINI	X-Raid All4 Racing Countryman	B 523	Offroad	UK	220,000	Epic	Autoshow, Wheelspin	
2018	MINI	X-Raid John Cooper Works Buggy	B 514	Offroad	UK			Collection Journal, Seasonal	Not in Autoshow
2005	Mitsubishi	#1 Sierra Sierra Enterprises Lancer Evolution Time Attack	R 962	Extreme Track Toys	Japan			Collection Journal	Not in Autoshow
1990	Mitsubishi	#269 Attacking the Clock Racing Minicab Time Attack	D 166	Track Toys	Japan	100,000	Epic	Autoshow DLC	Time Attack Car Pack
1995	Mitsubishi	Eclipse GSX	C 436	Retro Sports Cars	Japan	35,000	Common	Autoshow, Wheelspin	
1992	Mitsubishi	Galant VR-4	C 431	Retro Rally	Japan	25,000	Rare	Autoshow, Wheelspin	
1997	Mitsubishi	GTO	C 495	Retro Sports Cars	Japan	20,000	Common	Autoshow, Wheelspin	
1995	Mitsubishi	Lancer Evolution III GSR	B 518	Retro Rally	Japan	29,000	Treasure Car	Collection Journal	Not in Autoshow, is discoverable Treasure Car
2006	Mitsubishi	Lancer Evolution IX MR	B 521	Modern Rally	Japan	250,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2001	Mitsubishi	Lancer Evolution VI GSR TM Edition	B 574	Retro Rally	Japan	70,000	Rare	Autoshow	
2004	Mitsubishi	Lancer Evolution VIII MR	B 555	Modern Rally	Japan	30,000	Rare	Autoshow, Wheelspin	
2004	Mitsubishi	Lancer Evolution VIII MR Welcome Pack	A 700	Modern Rally	Japan	100,000	Legendary	Autoshow DLC	Welcome Pack
2008	Mitsubishi	Lancer Evolution X GSR	B 534	Modern Rally	Japan	25,000	Rare	Autoshow, Wheelspin	
1997	Mitsubishi	Montero Evolution	D 346	Pickups & 4x4s	Japan	50,000	Barn Find	Collection Journal	Not in Autoshow
1995	Mitsubishi	Montero Exceed 2800 TD	D 190	Pickups & 4x4s	Japan	25,000	Rare	Autoshow, Wheelspin	
1983	Nissan	#11 Tomica Skyline Turbo Super Silhouette	S2 847	Retro Racers	Japan			Collection Journal	Not in Autoshow
1990	Nissan	#12 Skyline GT-R (BNR32 Gr.A) JTC	S2 858	Retro Racers	Japan	1,500,000	Legendary	Autoshow DLC	Car Pass 5/19/26
1998	Nissan	#23 Pennzoil NISMO Skyline GT-R	S2 848	Retro Racers	Japan	600,000	Barn Find	Collection Journal	Not in Autoshow
1993	Nissan	#32 Skyline WTAC 'Xtreme GTR'	R 923	Extreme Track Toys	Japan	570,000	Epic	Autoshow DLC	Time Attack Car Pack
2000	Nissan	#36 Dream Project S15 Silvia WTAC	R 996	Extreme Track Toys	Japan	400,000	Epic	Autoshow DLC	Time Attack Car Pack
1993	Nissan	240SX	D 339	Retro Sports Cars	Japan			Wheelspin, Seasonal	Not in Autoshow
2010	Nissan	370Z	B 568	Modern Sports Cars	Japan	250,000	Common	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2019	Nissan	370Z Nismo	A 603	Modern Sports Cars	Japan	46,000	Rare	Autoshow, Wheelspin	
1987	Nissan	Be-1	D 175	Eclectic Domestics	Japan	23,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2003	Nissan	Fairlady Z	B 534	Retro Sports Cars	Japan	18,000	Common	Autoshow, Wheelspin	
1969	Nissan	Fairlady Z 432	D 369	Classic Sports Cars	Japan	250,000	Epic	Autoshow, Wheelspin	
1994	Nissan	Fairlady Z Version S Twin Turbo	C 497	Retro Sports Cars	Japan	40,000	Epic	Autoshow	
1991	Nissan	Figaro	D 234	Eclectic Domestics	Japan	40,000	Treasure Car	Collection Journal	Not in Autoshow, is discoverable Treasure Car
1995	Nissan	Gloria Gran Turismo	C 498	Retro Super Saloons	Japan	15,000	Rare	Autoshow, Wheelspin	
2017	Nissan	GT-R (R35)	S1 709	Modern Supercars	Japan	115,000	Rare	Autoshow, Wheelspin	
2012	Nissan	GT-R Black Edition (R35)	S1 703	Modern Supercars	Japan	80,000	Rare	Autoshow, Wheelspin	
2012	Nissan	GT-R Black Edition (R35) Forza Edition	S2 850	Extreme Track Toys	Japan	750,000	Forza Edition	Wheelspin, Seasonal	Not in Autoshow
2024	Nissan	GT-R Nismo	S1 741	Track Toys	Japan	220,000	Epic	Autoshow, Collection Journal	
2020	Nissan	GT-R NISMO (R35)	S1 736	Track Toys	Japan	270,000	Epic	Autoshow, Wheelspin	
1995	Nissan	NISMO GT-R LM	B 545	Retro Sports Cars	Japan	1,100,000	Legendary	Autoshow, Wheelspin	
1989	Nissan	PAO	D 145	Eclectic Domestics	Japan	12,000	Barn Find	Collection Journal	Not in Autoshow, is discoverable Barn Find in Minamino
1990	Nissan	Pulsar GTI-R	C 486	Retro Rally	Japan	28,000	Rare	Autoshow, Wheelspin	
1998	Nissan	R390 (GT1)	S1 774	Retro Supercars	Japan			Collection Journal	Not in Autoshow
1989	Nissan	S-Cargo	D 131	Eclectic Domestics	Japan	19,000	Rare	Autoshow, Wheelspin	
1989	Nissan	S-Cargo Forza Edition	S1 800	Track Toys	Japan			Wheelspin, Seasonal	Not in Autoshow
1985	Nissan	Safari Turbo	D 123	Pickups & 4x4s	Japan	25,000	Treasure Car	Collection Journal	Not in Autoshow, is discoverable Treasure Car
1989	Nissan	Silvia K's	C 455	Retro Sports Cars	Japan	40,000	Common	Autoshow	
1994	Nissan	Silvia K's	C 499	Retro Sports Cars	Japan	20,000	Common	Autoshow, Wheelspin	
1998	Nissan	Silvia K's Aero	C 494	Retro Sports Cars	Japan	22,000	Common	Autoshow, Wheelspin	
2002	Nissan	Silvia Spec-R	B 551	Retro Sports Cars	Japan	44,000	Common	Autoshow, Wheelspin	
1971	Nissan	Skyline 2000GT-R	D 380	Classic Sports Cars	Japan	169,000	Barn Find	Collection Journal	Not in Autoshow, is discoverable Barn Find in Nangan
1992	Nissan	Skyline GT-R	B 541	Retro Sports Cars	Japan	72,000	Rare	Autoshow, Wheelspin	
1998	Nissan	Skyline GT-R 40th Anniversary	B 547	Retro Sports Cars	Japan			Autoshow DLC	Car Pass 7/2/26
2000	Nissan	Skyline GT-R V Spec II	B 590	Retro Sports Cars	Japan	200,000	Rare	Autoshow, Wheelspin	
1997	Nissan	Skyline GT-R V-Spec	B 555	Retro Sports Cars	Japan	250,000	Rare	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1987	Nissan	Skyline GTS-R	C 432	Retro Sports Cars	Japan			Autoshow	
1973	Nissan	Skyline H/T 2000GT-R	C 407	Classic Sports Cars	Japan			Autoshow, Wheelspin	
1997	Nissan	Stagea RS Four V	C 439	Retro Super Saloons	Japan	20,000	Epic	Autoshow, Wheelspin	
2024	Nissan	Z NISMO	A 652	Modern Sports Cars	Japan	60,000	Epic	Autoshow, Wheelspin	
2010	Noble	M600	S1 793	Modern Supercars	UK	322,000	Epic	Autoshow, Wheelspin	
1984	Opel	Manta 400	B 576	Rally Monsters	Germany	152,000	Rare	Autoshow, Collection Journal	
2016	Pagani	Huayra BC Coupe	S2 851	Hypercars	Italy	3,600,000	Legendary	Autoshow, Wheelspin	
2021	Pagani	Huayra R	R 954	Extreme Track Toys	Italy	2,750,000	Legendary	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2010	Pagani	Zonda Cinque Roadster	S2 812	Hypercars	Italy	4,000,000	Legendary	Autoshow	
2009	Pagani	Zonda R	R 918	Extreme Track Toys	Italy	4,750,000	Legendary	Autoshow, Wheelspin	
1962	Peel	P50	D 100	Cult Cars	UK	21,000	Legendary	Autoshow, Wheelspin	
1962	Peel	P50 Trolli Edition	D 100	Cult Cars	UK	21,000	Legendary	Autoshow DLC	Partnership DLC
